iso3_code,year,gdp_current_usd,gdp_growth_rate_pct,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,merchandise_imports_usd,merchandise_exports_usd,trade_percent_gdp,exports_goods_services_usd,imports_goods_services_usd,trade_in_goods_percent_gdp,inflation_rate_pct,real_interest_rate_pct,current_account_balance_pct_gdp,govt_debt_pct_gdp,exchange_rate_usd,fdi_inflows_usd,fdi_outflows_usd,unemployment_rate_pct,lpi_overall_score,lpi_customs_score,lpi_infrastructure_score,lpi_timeliness_score,container_port_throughput,air_freight_million_tons,political_stability_score,rule_of_law_score,govt_effectiveness_score,corruption_control_score,demand,armed_forces_total,gpr_mean,gpr_max,gpr_std,gprt_mean,gpra_mean,gscpi_value,risk_score,risk_category,composite_risk_index,trade_balance_usd,trade_openness,economic_vulnerability,logistics_stress,gdp_growth_flag,high_risk_flag,homicide_rate,military_exp_pct_gdp,social_protection
ABW,2010,2453597206.70391,-2.73345679250639,24093.1401510626,60.2181860904717,75.2464685871092,1394000000.0,265000000.0,135.464654677581,1824636871.50838,2073575418.99441,67.6150101356144,2.07814071860786,11.6661307585963,-18.7525373189382,51.0307896913633,1.79,186759776.536312,2737430.16759776,6.954096540266925,2.65632653061224,2.31809523809524,2.38408163265306,3.28,8.4257379908,1442.47537375737,1.163,1.836,1.711,1.842,1.70726609883715,1677181.0,84.17017555236816,97.20389556884766,10.340243927044863,83.7355318069458,81.64989407857259,-0.31,,Low,19.829,-1129000000.0,135.4646546775809,17.261498431044732,1.815244897959186,1,0,3.99546514705809,,
ABW,2011,2637859217.87709,3.36923718421511,25712.3843015186,69.7510127562388,84.6867741066482,5917000000.0,5180000000.0,154.437786862887,6861117318.43575,6760111731.84357,420.682041133745,4.31629742195203,4.80197433814387,-9.8776559966521,51.10586003636605,1.79,488156424.581005,3128491.62011173,6.669470493462786,2.65632653061224,2.31809523809524,2.38408163265306,3.28,7.553097284,1678.31347797426,1.163,1.836,1.711,1.842,1.59919396393293,1858822.0,90.0953877766927,136.8883056640625,16.540717351393265,81.27947584788005,100.46877924601236,1.42,,Moderate,25.423,-737000000.0,154.43778686288698,18.244541336187982,2.148244897959186,0,0,1.98057060239055,,
ABW,2012,2615208379.88827,-1.04079988436683,25119.6655449838,73.1035458041627,83.5416514017811,2046000000.0,1389000000.0,156.645197205944,3151005586.59217,2869385474.86033,131.347086007225,0.627471992893372,8.20087500684476,3.47345127544661,50.65060555450535,1.79,-314692737.430167,2793296.08938547,6.42798117035246,2.67363636363636,2.425,2.53666666666667,3.09,7.8707592623,1849.04942239385,1.163,1.836,1.711,1.842,1.6310888358715152,1860810.0,81.47523371378581,96.01668548583984,7.691253969259243,81.10788790384929,79.9891284306844,0.21,,Low,19.753,-657000000.0,156.64519720594382,16.711019498290106,1.7325454545454548,1,0,3.93068241560088,,
ABW,2013,2727849162.01117,6.43146080719245,25813.5714408438,73.5764358929723,82.1554685240735,1377000000.0,279000000.0,155.731904417046,2158632968.39972,2261313558.85103,60.7071689689423,-2.37206524252261,10.7097087655441,-11.813208837986,50.51256489386655,1.79,272088145.377014,49214590.2451566,6.386291778642545,2.67363636363636,2.425,2.53666666666667,3.09,8.3296303304,1891.04579217033,1.163,1.836,1.711,1.842,1.678296695104075,1845910.0,83.03660519917806,100.4593276977539,9.512704747751584,81.50718116760254,84.50970236460368,-0.38,,Low,18.175,-1098000000.0,155.7319044170458,15.64340825113169,1.7835454545454548,0,0,5.85037661799478,,
ABW,2014,2790849720.67039,1.42609864257801,26129.8390617693,75.4546231589626,81.0364296072738,1350000000.0,259000000.0,156.491052766236,2298094989.78973,2258694733.99913,57.6526922278532,0.421440918881214,6.37347405601159,-4.65857687581843,50.3173418256169,1.79,208344037.245164,-35098648.3742189,6.196230868820975,2.685049,2.546248,2.5457637,3.03656612,7.9110404862,1810.96316786921,1.163,1.836,1.711,1.842,1.670734888699855,1887010.0,100.29158528645831,138.7539520263672,24.64579007087438,109.69803682963054,88.4787638982137,-0.22,,Low,19.92,-1091000000.0,156.4910527662364,16.416880997113626,1.72825129,0,0,1.93475053810249,,
ABW,2015,2962906703.91061,3.61147995361162,27458.2201537506,70.3217227986333,70.1712783348627,1250000000.0,330000000.0,140.493001133496,2442455814.39172,2133814990.29159,53.3260125239389,0.474763597342641,4.42635752603564,3.99414243924537,50.8423091675609,1.79,-26881396.9938559,10319084.5667812,6.67695490703265,2.685049,2.546248,2.5457637,3.03656612,7.552258475,1861.62574779456,1.163,1.836,1.711,1.842,1.69458639528853,1916310.0,105.95364507039388,150.71588134765625,23.285246033520632,101.51690038045248,114.01522254943848,-0.76,,Low,19.176,-920000000.0,140.49300113349602,16.57851281087759,1.89025129,0,0,,,
ABW,2016,2983637430.1676,1.23433537363427,27441.5502144601,68.9666600570598,67.9206032637667,1138000000.0,284000000.0,136.887263320827,2344454170.95218,2010923827.66032,47.659946400395,-0.93119598707956,7.46758040290235,4.7317741972835,52.33411764101645,1.79,27550827.0999312,-418765.83527694,6.426978438356125,2.6590482,2.4543882,2.48,3.040923,7.7386762298,1868.73262766,1.145,1.843,1.71,1.833,1.63630249199539,1796540.0,98.6786880493164,118.21114349365234,12.08232225985482,90.76860237121582,110.70953432718912,-0.58,,Low,18.915,-854000000.0,136.8872633208265,16.590272183852292,1.86638072,0,0,,,
ABW,2017,3092427932.96089,3.49342985290626,28440.0416881491,69.6369362107407,69.0796838844953,1124000000.0,135000000.0,138.716620095236,2305661766.22435,2038113882.34816,40.7123472977607,-1.02828178762012,6.14327999866008,1.1197958543778,52.86418140524595,1.79,162456842.302022,83173925.5753603,6.227101566547275,2.6590482,2.4543882,2.48,3.040923,8.5066278749,2357.28876355656,1.18,1.854,1.728,1.925,1.625131322420565,1790000.0,107.37731170654295,138.5316162109375,16.097410358106718,117.4666633605957,93.9050210316976,0.12,,Low,20.82,-989000000.0,138.716620095236,16.820190198597203,1.72838072,0,0,,,
ABW,2018,3276187709.49721,3.21247111920076,30082.1584226798,68.4088639609739,70.4161082846835,1232000000.0,194000000.0,138.824972245657,2556761700.07297,2269613874.50068,43.5261995479144,3.6260414135296,3.26873379730582,-0.59136646769686,56.5027068771842,1.79,144146269.421965,30454350.7288959,6.03077037529887,2.6384893617021303,2.44625,2.4534782608695647,3.049627329192545,8.3066805683,2361.1193531972403,1.192,1.829,1.75,1.863,1.58119135943445,1843470.0,98.5529073079427,125.66661834716795,19.242331662444627,122.84775797526042,65.44431845347087,0.29,,Low,23.005,-1038000000.0,138.82497224565742,19.30277856227392,1.7955607770582784,0,0,,,
ABW,2019,3346623191.45988,1.22511225158814,30645.8906024548,66.7217875421583,71.2401417712412,1206000000.0,131000000.0,137.9619293134,2561691719.54532,2240027486.0453,39.9507181869725,4.25746204335427,4.74304972808446,2.53380248998849,59.9837867004913,1.79,-75226540.6843182,59757863.331002,6.06655916125813,2.6384893617021303,2.44625,2.4534782608695647,3.049627329192545,8.3820318527,2567.985893592965,1.207,1.809,1.733,1.831,1.57952923878962,1930500.0,90.94625282287598,106.58845520019533,11.870769627217111,112.7704283396403,60.5952517191569,-0.19,,Low,21.815,-1075000000.0,137.96192931339948,20.4476864554053,1.7655607770582784,0,0,,,
ABW,2020,2471419181.71957,-23.8979898352395,22759.8071750722,53.5769436483474,69.1467943980567,863000000.0,87000000.0,122.723738046404,1443955667.63773,1644444117.51288,38.4394524015552,4.25746204335427,10.0595630604302,-12.8046064501285,69.0656538994855,1.79,161066979.086053,20043217.0606932,6.96662786306036,2.6384893617021303,2.44625,2.4534782608695647,3.049627329192545,9.5437176077,2329.620086280465,1.159,1.846,1.701,1.924,1.680937344233275,1732000.0,77.29380416870117,138.4209442138672,20.0652007297976,97.4657351175944,49.32102219263712,0.77,,Low,23.202,-776000000.0,122.7237380464041,23.544260355464,1.9395607770582783,1,0,,,
ABW,2021,2880902798.92288,14.7306159219273,26749.3296093118,67.5199048286586,72.3978928801098,1064000000.0,123000000.0,139.917797708768,2200975707.82878,1947388024.99818,41.2023619972114,4.25746204335427,4.72220080025861,2.75111908453426,69.0760103254617,1.79,133545121.178455,-4855705.24615563,6.33048938390488,2.6384893617021303,2.44625,2.4534782608695647,3.049627329192545,6.5930880184,3531.548992907,1.19,1.816,1.697,1.921,1.616963452711465,1732000.0,82.07023620605469,105.34542083740234,11.703356281520485,103.88600095113118,54.54721323649088,3.27,,Moderate,28.723,-941000000.0,139.91779770876838,23.92013958742576,2.6895607770582783,0,0,,,
ABW,2022,3324034443.26581,10.6364309604414,30975.9989121779,80.8068810212559,79.8276653967588,1379000000.0,208000000.0,160.634546418015,2852780591.7536,2428941212.84215,47.7431875958782,4.25746204335427,1.7364622447006,6.93602302823432,58.5241429999966,1.79,248150282.616618,123456004.482073,5.62584537984402,2.712491888384165,2.53386627906977,2.5616482803374403,3.025333333333335,6.5930880184,3393.139205905,1.149,1.771,1.684,1.893,1.61295171558724,1732000.0,157.58319346110025,318.9549255371094,59.42277565690978,199.27301851908365,124.79589811960857,3.15,,Moderate,33.52,-1171000000.0,160.6345464180147,20.58965058897406,2.5915087605451017,0,0,,,
ABW,2023,3834729616.12027,7.70679839650956,35718.7531191634,82.4000749026328,76.6185220220193,1392000000.0,166000000.0,159.018596924652,3153296585.10096,2565437074.87096,40.6286793585276,4.25746204335427,-1.22215389191863,5.07202388667267,57.8834285733848,1.79,-137459364.921322,54876124.1910402,5.11483942298028,2.712491888384165,2.53386627906977,2.5616482803374403,3.025333333333335,6.5930880184,4222.1820431826,1.149,1.771,1.684,1.893,1.78555450821128,1732000.0,121.7112553914388,197.8870086669922,29.699748963581897,133.91544914245603,116.23838424682616,-0.52,,Low,23.264,-1226000000.0,159.01859692465212,19.56123506961778,1.8025087605451016,0,0,,,
AFE,2010,863822114606.332,5.30790438645938,1628.90524793139,29.0113731471337,29.4051934461214,208024441263.665,205161221941.882,61.1440016011495,245327292439.595,255576331846.526,48.1010786019602,5.53753791645676,5.91578891584344,-2.61503524197613,51.0307896913633,1.79,13934876540.0955,2832141101.1279,7.33948885318777,2.38,2.14333333333333,2.01388888888889,2.81833333333333,10.58743088815,2052.237887172,1.163,1.836,1.711,1.842,1.56758981834682,1287823.0,84.17017555236816,97.20389556884766,10.340243927044863,83.7355318069458,81.64989407857259,-0.31,,Low,22.826,-2863219321.78302,58.4165665932551,18.37639605298357,2.036833333333333,0,0,12.8,1.56758981834682,2.94444444444444
AFE,2011,959822476083.878,4.07747696614018,1761.98926096159,30.9746253824193,31.6662551578502,258785367541.671,248962100431.273,63.0683921534385,294292313703.312,307399526234.118,53.1248748513013,8.97120640995788,1.46803081679031,-1.92887747556169,51.10586003636605,1.79,17538712522.7342,2442622529.20336,7.303350943492,2.38,2.14333333333333,2.01388888888889,2.81833333333333,9.0630580884,2138.53770944891,1.163,1.836,1.711,1.842,1.52552678849218,1474402.0,90.0953877766927,136.8883056640625,16.540717351393265,81.27947584788005,100.46877924601236,1.42,,Moderate,29.217,-9823267110.39798,62.6408805402695,19.76779012259558,2.369833333333333,0,0,12.7,1.52552678849218,2.91666666666667
AFE,2012,969265729636.028,1.89717291956102,1732.03802145335,29.466768547602,32.6271153016894,276762838221.901,239224628532.634,61.0262151920067,286860260034.003,320740233753.487,53.2936115072466,9.15870843167905,5.34333265873121,-0.39159512386959,50.65060555450535,1.79,24636341951.4997,4257685043.90184,7.10873740350119,2.46421052631579,2.31157894736842,2.34052631578947,2.82789473684211,8.9030200938,2485.77626262928,1.163,1.836,1.711,1.842,1.55783552956438,1475640.0,81.47523371378581,96.01668548583984,7.691253969259243,81.10788790384929,79.9891284306844,0.21,,Moderate,25.964,-37538209689.267,62.0938838492914,19.406541676555555,1.875157894736843,0,0,12.9,1.55783552956438,2.84210526315789
